,train_loss,val_loss,test_loss,weight
0,0.9731321639557077,2.0213171919184925,1.3371576364483635,0.8702970304788136
1,1.5250748280876851,2.28664557324926,1.8465468295164942,0.03531921200894619
2,1.563965707232846,3.1646490762068833,2.421690499619059,0.02818073850300103
3,1.6091747084376626,2.2892725197217323,1.331226918142361,0.021675212093676552
4,1.6305055383375993,2.663504320471457,2.54394356137718,0.019150506060409443
5,1.708164976228038,2.758327257714348,2.4741847585875654,0.012200324994486592
6,1.8979056531494933,3.0411050664639516,1.9453550027513051,0.004054742617767975
7,1.9769097464050354,2.97373772429334,2.5068003612315883,0.0025630911502359565
8,2.0062105921181983,3.1557959386126253,2.173508185271167,0.002162148515462925
9,2.046589634842184,9.62187131075125,11.7711336870655,0.0017103093193918655
10,2.2613480787580946,2.8164343917067036,3.1339079712107667,0.0004915721711180209
11,2.2820840358217604,4.139393377112182,3.2666263247541476,0.0004358169203227299
12,2.3470828671669572,3.014434605564199,1.760100069484393,0.00029882533588438813
13,2.383446313238129,3.64307656776609,3.7302990870999455,0.00024195321468708467
14,2.453128524573044,3.1438346474218672,2.6492065378385963,0.0001614492942319199
15,2.483346720432551,3.7622319549595415,3.776002019604887,0.0001354704690264823
16,2.490000214308545,3.907747075396312,4.012024349491989,0.0001303372808892097
17,2.5213536176547517,5.416339930611649,2.467855260776986,0.00010864627778359267
18,2.5270673100626535,3.3510707714357055,2.8358522561176214,0.00010510139235184331
19,2.5869854127800935,4.177156476618747,1.5228702251876376,7.422192936848607e-05
20,2.6156798706424844,3.090745015171058,2.7196123374659806,6.283225458499569e-05
21,2.6237064173209945,2.57109631191676,1.7380377937279399,5.9971467964752444e-05
22,2.6324790931579445,2.8154955693742645,3.7682559452402824,5.699351485118171e-05
23,2.654747145942526,4.564547917838334,2.969017298290626,5.0081721227562485e-05
24,2.7000729176570646,4.527628541191653,5.837202385876179,3.8494245304766335e-05
25,2.707834604157812,6.032217318132403,4.104780350964906,3.679812228088641e-05
26,2.7372764178903006,4.089592108587761,1.493744685514013,3.1016421876740847e-05
27,2.764489350076724,2.5735134024862525,2.5268768708733838,2.6483634567714747e-05
28,2.765519624102512,2.670694215686094,1.5584146355170119,2.632569683328225e-05
29,2.8223327669522025,5.194914128045889,2.471762624515124,1.8929207216041995e-05
30,2.828800118518522,2.385102524673143,1.2317498651166776,1.8231641931036785e-05
31,2.8333071010183897,4.774671799959371,3.406229547624279,1.7760777469541972e-05
32,2.8857726468868887,2.55657837928093,2.216135535627332,1.3097139739948056e-05
33,2.924898874700733,7.068448141215028,7.384808035761173,1.0435768164351006e-05
34,2.993481662593071,3.0894731581587855,2.1606692243831764,7.008115318423371e-06
35,3.0046315925145555,6.928605787679773,5.761620460238269,6.568830314194502e-06
36,3.0524451520500406,3.2609252324810822,2.475089117403345,4.9765910146735375e-06
37,3.092122616034074,5.205563286312556,3.0733510798971513,3.9526652639648656e-06
38,3.1763852617872876,3.2351265738862924,2.349909099073337,2.4234384498753454e-06
39,3.212570292832467,4.605673320684615,4.6274317926876325,1.9642457686543357e-06
40,3.2522198892199996,3.076971513544811,2.4095142234755005,1.5603577311406418e-06
41,3.2962291308591523,3.9846189468054267,3.636056679677978,1.2085377235472435e-06
42,3.352246913421331,4.6322868893777525,3.3723556044517595,8.730078832691052e-07
43,3.355928305168924,3.1185780490585344,3.5236310191292723,8.54547056420175e-07
44,3.367767501941168,2.6570843851831585,1.8239227356678183,7.977831945287563e-07
45,3.3873347245253553,7.786090107708302,3.1743383407352206,7.121123285921669e-07
46,3.4518932309371593,7.166743026630378,5.045624087791376,4.895218251716791e-07
47,3.4725204197865613,1.9950033008994328,2.1582127598621668,4.3427327525211973e-07
48,3.4938366324412904,3.6433817473810377,1.7471527157021487,3.8372214088301414e-07
49,3.5205828717350096,5.2101190227585015,5.78020713854934,3.285333482809256e-07
50,3.532439680891425,2.4875884957614,1.979232265897346,3.066789399261818e-07
51,3.562678813388164,5.265592076962767,4.617881168880614,2.572999179782896e-07
52,3.71877187815644,7.165783671293642,3.3163247312669877,1.0396087201142302e-07
53,3.7742184483466605,6.507767895084431,3.1262074791713723,7.534737222233001e-08
54,3.7996031977140547,3.0287192030485546,2.687872297656366,6.502248204924906e-08
55,3.8243389281302598,5.912296432988345,4.062609941800479,5.632424757613351e-08
56,3.8350612404163815,3.2793156125288805,2.5177988431693317,5.292494173801751e-08
57,3.8455942892107133,3.4712326083157006,2.19253443106765,4.978546678099072e-08
